model,UCI_self_commonfeats,UCI_to_NHANES,UCI_to_Tawam
LogReg,0.9193548387096774,0.3590920017281206,0.5267241379310345
RF,0.9758064516129032,0.7670129394097741,0.6162972085385878
HGB,0.9662563667232598,0.422322604629131,0.6413998357963875
MLP,0.9605263157894737,0.32837043260957155,0.7694581280788177
Ensemble,0.9766553480475382,0.44611827386065395,0.627811986863711
