feature_set,train_size,observed_hgb,fit_hgb
all,50.0,0.6333266225609494,0.6687920459654435
all,51.35277963979166,0.6425746131787728,0.6829531802055501
all,52.742159534660004,0.6520728136649317,0.6965088406926156
all,54.16912992620265,0.6618279935957375,0.7094849150751442
all,55.63470784759058,0.6718471057024012,0.7219061841487959
all,57.13993784843012,0.6821372908263985,0.7337963691810112
all,58.68589273923647,0.6927058830089046,0.7451781772122223
all,60.27367435604921,0.7035604147179256,0.756073344420163
all,61.90441434573511,0.7147086222168554,0.7665026776300952
all,63.579274972537874,0.7261584510782797,0.7764860940502236
all,65.29944994644914,0.7379180618469605,0.7860426593081795
all,67.06616527399218,0.7499958358560366,0.7951906238612199
all,68.88068013202337,0.7624003812005822,0.8039474578496668
all,70.74428776517541,0.7751405388727871,0.8123298844601561
all,72.65831640758127,0.7882253890631261,0.820353911862405
all,74.62413022953561,0.8016642576320094,0.8280348637804895
all,76.64313030976912,0.8154667227565289,0.8353874087570168
all,78.71675563402823,0.8296426217570363,0.8424255881660792
all,80.84648412067163,0.8442020581084164,0.8491628430284828
all,83.03383367401528,0.8591554086410559,0.8556120396804653
all,85.28036326617641,0.8745133309366402,0.861785494344923
all,87.58767404818678,0.8902867709240436,0.8676949966520666
all,89.9574104911687,0.9064869706807358,0.87335183215443
all,92.3912615583854,0.9231254764452564,0.8787668038792261
all,94.89096190900241,0.9402141468464731,0.8839502529592091
all,97.45829313441727,0.9577651613554868,0.8889120783814439
all,100.09508502803898,0.9751611353749113,0.8936617558916968
all,102.80321688942192,0.9757346035999,0.8982083560905489
all,105.58461886368387,0.9763235873476654,0.9025605617557924
all,108.44127331716297,0.9769285063998737,0.9067266844241896
all,111.3752162502938,0.977549791895633,0.9107146802642625
all,114.38853874870952,0.9781878866387754,0.9145321652704247
all,117.48338847360502,0.9788432454134535,0.9181864298074729
all,120.66197119242159,0.9795163353082745,0.9216844525332131
all,123.92655235094632,0.9802076360492047,0.9250329137258114
all,127.27945868794507,0.980917640341481,0.9282382080413208
all,130.72307989348022,0.9816468542207725,0.9313064567257454
all,134.25987031209527,0.9823957974138431,0.9342435193049664
all,137.89235069208073,0.9831650037089725,0.937055004774854
all,141.62310998206593,0.9839550213363991,0.9397462823129326
all,145.4548071762202,0.9847664133590549,0.9423224915320597
all,149.3901732093765,0.9855997580738733,0.9447885522956976
all,153.43201290342827,0.9864556494239545,0.9471491741135228
all,157.58320696638847,0.987334697421881,0.9494088651353176
all,161.84671404553262,0.9882375285844873,0.9515719407603171
all,166.22557283609225,0.9891647863793925,0.9536425318784563
all,170.7229042469997,0.9901171316836135,0.9556245927592532
all,175.34191362522859,0.9910952432545864,0.9575219086033951
all,180.08589304031497,0.9920998182139326,0.9593381027714497
all,184.95822363068754,0.9931315725443116,0.9610766437035035
all,189.9623780134801,0.9941912415997187,0.9627408515429465
all,195.10192275954103,0.9952795806295872,0.9643339044770478
all,200.3805209354073,0.9963203079122246,0.9658588448064346
all,205.80193471405244,0.996370471347116,0.9673185847550649
all,211.37002805627054,0.9964219919834749,0.9687159120317883
all,217.08876946460487,0.9964749065411919,0.9700534951541154
all,222.96223481178777,0.9965292527336354,0.971333888544367
all,228.9946102457045,0.9965850692945316,0.9725595374079288
all,235.19019517295285,0.9966423960055707,0.9737327824029339
all,241.55340532312485,0.99670127372476,0.9748558641102874
all,248.08877589599396,0.9967617444155444,0.9759309273125695
all,254.80096479385276,0.9968238511767148,0.9769600250899919
all,261.69475594130074,0.9968876382731253,0.9779451227412255
all,268.77506269485355,0.9969531511672419,0.9788881015365898
all,276.0469313447998,0.9970204365515446,0.979790762310771
all,283.5155447118041,0.997089542381806,0.9806548289019301
all,291.1862258408156,0.9971605179112709,0.9814819514437668
all,299.0644417949203,0.9972334137257595,0.98227370951683
all,307.15580755183686,0.9973082817797213,0.9830316151650896
all,315.46609000583476,0.9973851754332645,0.9837571157835316
all,324.0012120779263,0.9974641494901867,0.9844515968822914
all,332.76725693726286,0.9975452602370343,0.9851163847326043
all,341.77047233674386,0.99762856548322,0.9857527488996246
all,351.01727506592647,0.9977141246022243,0.9863619046669522
all,360.5142555244132,0.9978019985739123,0.9869450153574959
all,370.2681824189744,0.9978922500279956,0.9875031945551058
all,380.28600758775553,0.9979849432886699,0.9880375082312175
all,390.57487095500306,0.9980801444204599,0.9885489767805695
all,401.1421056198468,0.9981779212753052,0.9890385769698814
all,411.9952430827606,0.9982783435409203,0.9895072438032145
all,423.14201861342815,0.9983814827904612,0.9899558723075768
all,434.59037676384,0.9984874125335392,0.9903853192421824
all,446.3484770305499,0.9985962082686108,0.9907964047346312
all,458.42469967012886,0.9987079475367884,0.9911899138471294
all,470.82765167195606,0.9988227099771052,0.9915665980757475
all,483.566172892611,0.9989405773832754,0.9919271767855742
all,496.6493423562326,0.9990616337619909,0.9922723385845091
all,510.0864847253412,0.9991061161184388,0.9926027426383184
all,523.8871769467281,0.9991245589578751,0.9929190199294623
all,538.0612550771576,0.9991435007792653,0.9932217744621024
all,552.6188212937402,0.9991629550828618,0.9935115844155852
all,567.570251093977,0.9991829357341745,0.9937890032486091
all,582.9262006906047,0.9992034569738528,0.9940545607561807
all,598.6976146065119,0.9992245334278357,0.9943087640813802
all,614.8957334751419,0.9992461801177751,0.9945520986838677
all,631.5321020519406,0.9992684124717428,0.9947850292669796
all,648.6185774425546,0.9992912463352264,0.9950080006651872
all,666.1673375536525,0.9993146979824223,0.9952214386936091
all,684.1908897723886,0.9993387841278353,0.9954257509612043
all,702.7020798806892,0.9993635219381904,0.9956213276491945
all,721.7141012107264,0.9993889290446692,0.9958085422562046
all,741.2405040480947,0.9994150235554751,0.9959877523115447
all,761.2952052893983,0.9994418240687395,0.9961593000579942
all,781.8924983611287,0.9994693496857775,0.9963235131053929
all,803.0470634069042,0.9994976200247015,0.9964807050562876
all,824.7739777503303,0.9995266552344038,0.9966311761048278
all,847.088726640943,0.9995564760089163,0.9967752136100558
all,870.0072142908814,0.999587103602161,0.9969130926446846
all,893.545775210172,0.9996185598430968,0.9970450765204125
all,917.7211858486957,0.9996508671512783,0.9971714172907773
all,942.5506765531273,0.9996840485528342,0.9972923562325106
all,968.051943847386,0.9997181276968791,0.9974081243063104
all,994.2431630453359,0.9997531288723681,0.9975189425979152
all,1021.143001204732,0.9997640619980447,0.9976250227403162
all,1048.7706304316423,0.9997682955311289,0.9977265673179204
all,1077.1457415448303,0.9997726436049604,0.9978237702534314
all,1106.2885581098321,0.9997771093185069,0.9979168171781899
all,1136.2198508527415,0.9997816958545808,0.9980058857866789
all,1166.960952463956,0.9997864064821069,0.9980911461758724
all,1198.5337728024574,0.9997912445584533,0.9981727611700744
all,1230.9608145114546,0.9997962135318231,0.9982508866318699
all,1264.265189056504,0.9998013169437131,0.9983256717597798
all,1298.470633197564,0.999806558431437,0.9983972593731899
all,1333.6015259067053,0.9998119417307184,0.9984657861850972
all,1369.682905743539,0.9998174706783531,0.9985313830631951
all,1406.7404887007503,0.9998231492149435,0.9985941752797951
all,1444.8006865324494,0.9998289813877077,0.9986542827510632
all,1483.8906255784104,0.9998349713533633,0.998711820266027
all,1524.0381660976145,0.9998411233810904,0.9987668977057925
all,1565.27192212486,0.9998474418555747,0.9988196202533863
all,1607.6212818646202,0.9998539312801318,0.9988700885946278
all,1651.1164286366652,0.999860596279917,0.998918399110411
all,1695.7883623883695,0.9998674416052225,0.9989646440607666
all,1741.6689217890623,0.999874472134862,0.9990089117610532
all,1788.7908069221455,0.9998816928796486,0.9990512867506166
all,1837.1876025911613,0.9998891089859657,0.999091849954236
all,1886.8938022564212,0.9998967257394356,0.9991306788366695
all,1937.9448326192528,0.9999045485686857,0.99916784755059
all,1990.3770788713869,0.9999125830492185,0.9992034270781972
all,2044.2279106274914,0.9999151366092728,0.9992374853667747
all,2099.535708559306,0.9999164859020477,0.9992700874584504
all,2156.339891750396,0.9999178717007386,0.9993012956144095
all,2214.6809457910063,0.9999192949930347,0.999331169433797
all,2274.600451633019,0.9999207567933475,0.9993597659675351
all,2336.1411152256205,0.9999222581435342,0.999387139827276
all,2399.346797952769,0.9999238001136402,0.9994133432896948
all,2464.2625478941663,0.9999253838026616,0.999438426396324
all,2530.934631932014,0.9999270103393283,0.9994624370491193
all,2599.4105687264387,0.9999286808829086,0.9994854211019393
all,2669.739162583084,0.9999303966240359,0.9995074224481141
all,2741.9705382370216,0.9999321587855564,0.9995284831042697
all,2816.1561765777346,0.9999339686234014,0.9995486432905683
