model,uci_auc,nhanes_auc,tawam_auc,nhanes_brier,tawam_brier
LogReg,1.0,0.9457161543492478,0.8768020969855832,0.0834937228597972,0.061226832815774415
RF,0.9995755517826825,1.0,0.908256880733945,0.004328104329507536,0.06576177165286332
HGB,1.0,1.0,0.9102228047182175,0.00011538190209687837,0.05758935303066607
MLP,0.99830220713073,0.9970962005905479,0.9082568807339448,0.015344987629901111,0.13968971022249332
Ensemble,1.0,1.0,0.9049803407601573,0.003305702630197245,0.06625172384890489
