train_size,LogReg_test,LogReg_lo,LogReg_hi,RF_test,RF_lo,RF_hi,HGB_test,HGB_lo,HGB_hi,MLP_test,MLP_lo,MLP_hi,Ensemble_test,Ensemble_lo,Ensemble_hi
50,0.6113337159585875,0.584574679562402,0.638092752354773,0.810245866386668,0.7961743334736442,0.8243173992996917,0.6262374145210733,0.6003571269085126,0.652117702133634,0.5682505572536405,0.5441265659137628,0.5923745485935181,0.7912474473111678,0.7742374553958056,0.80825743922653
100,0.6574272307571383,0.6439678454865173,0.6708866160277592,0.8579319475773742,0.849119364706634,0.8667445304481145,0.8494398915005288,0.8417829780249947,0.8570968049760629,0.5635858660010767,0.5490461015805395,0.578125630421614,0.8682518919928993,0.8607965381439476,0.875707245841851
200,0.6710427576306301,0.6626516747112345,0.6794338405500258,0.8853797481495324,0.8813901367100453,0.8893693595890194,0.8759075856198159,0.8716403682710713,0.8801748029685604,0.5624569731969526,0.5510532967628762,0.5738606496310291,0.887775419738421,0.8843491012296578,0.8912017382471842
500,0.6838064984005373,0.679567925114197,0.6880450716868777,0.9033402220709519,0.9008709103934163,0.9058095337484875,0.8907294943266166,0.8875606516479042,0.8938983370053291,0.7755994833076025,0.7368774939086546,0.8143214727065504,0.8991540719187172,0.8964304812789052,0.9018776625585292
1000,0.6871406029165537,0.6839273035909608,0.6903539022421465,0.9099269378560232,0.9079889251098827,0.9118649506021637,0.8977297939014279,0.8951372404212188,0.9003223473816371,0.8584504567032829,0.8468308474145892,0.8700700659919766,0.9053276117510445,0.9030772979116162,0.9075779255904728
2000,0.6912754026834191,0.6890248330740089,0.6935259722928294,0.9155028111091831,0.9142048970377215,0.9168007251806447,0.9058744099340196,0.9041154018773584,0.9076334179906808,0.8839913597878656,0.8741615941794733,0.8938211253962579,0.9120383841349927,0.910431430778213,0.9136453374917725
5000,0.6925848560483707,0.691224535754101,0.6939451763426404,0.9194526382604492,0.9190144122778882,0.9198908642430103,0.9127661507157911,0.9120956611524069,0.9134366402791754,0.907666223236624,0.9052336981912479,0.9100987482820002,0.917716439093623,0.9169541454423007,0.9184787327449453
10143,0.6925657989378442,0.6925657989378442,0.6925657989378442,0.9214719504544787,0.9212338408554903,0.9217100600534671,0.9190965965631946,0.9187013716386263,0.919491821487763,0.913238018119827,0.9122533041619652,0.9142227320776888,0.9206888292705353,0.920335763185615,0.9210418953554556
