fpr,tpr
0.0,0.0
0.0,0.07142857142857142
0.0,0.2857142857142857
0.01834862385321101,0.2857142857142857
0.01834862385321101,0.6428571428571429
0.06422018348623854,0.6428571428571429
0.06422018348623854,0.7142857142857143
0.07339449541284404,0.7142857142857143
0.07339449541284404,0.7857142857142857
0.1651376146788991,0.7857142857142857
0.1651376146788991,0.8571428571428571
0.27522935779816515,0.8571428571428571
0.27522935779816515,0.9285714285714286
0.5871559633027523,0.9285714285714286
0.5871559633027523,1.0
1.0,1.0
