model,original_auc,ablated_auc
LogReg,1.0,0.9991511035653651
RF,0.9995755517826825,1.0
HGB,1.0,0.9991511035653651
MLP,0.99830220713073,0.9966044142614601
Ensemble,1.0,1.0
