model,UCI,NHANES,Tawam
LogReg,1.0,0.9457161543492478,0.8768020969855832
RF,0.9995755517826825,1.0,0.908256880733945
HGB,1.0,1.0,0.9102228047182175
MLP,0.99830220713073,0.9970962005905479,0.9082568807339448
Ensemble,1.0,1.0,0.9049803407601573
