fpr,tpr
0.0,0.0
0.0,0.07142857142857142
0.0,0.42857142857142855
0.01834862385321101,0.42857142857142855
0.01834862385321101,0.5714285714285714
0.027522935779816515,0.5714285714285714
0.027522935779816515,0.7142857142857143
0.03669724770642202,0.7142857142857143
0.03669724770642202,0.7857142857142857
0.2018348623853211,0.7857142857142857
0.2018348623853211,0.8571428571428571
0.3119266055045872,0.8571428571428571
0.3119266055045872,0.9285714285714286
0.6422018348623854,0.9285714285714286
0.6422018348623854,1.0
0.9541284403669725,1.0
0.981651376146789,1.0
1.0,1.0
