train_size,HGB_ablated
10,0.5
20,0.5
40,0.7336481324278438
50,0.9263370118845499
75,0.9906833616298811
100,0.9953735144312393
150,0.9979838709677418
200,0.9982809847198644
300,0.9991511035653649
