model,all,no_egfr_acr,no_lab_surrogates
LogReg,0.9457161543492478,0.813117224216916,0.6925657989378442
RF,1.0,0.9737471618252708,0.9217657413957516
HGB,1.0,0.9751382567415456,0.9205118280143972
MLP,0.9970962005905479,0.969002905282453,0.9154613229638924
Ensemble,1.0,0.9749499102017087,0.9216070557283301
