train_size,LogReg_test,LogReg_lo,LogReg_hi,RF_test,RF_lo,RF_hi,HGB_test,HGB_lo,HGB_hi,MLP_test,MLP_lo,MLP_hi,Ensemble_test,Ensemble_lo,Ensemble_hi
50,0.7346302549796898,0.7110331181670723,0.7582273917923074,0.9047758082958495,0.8974715741603301,0.9120800424313689,0.6262374145210733,0.6003571269085126,0.652117702133634,0.6103160514260206,0.5779829823142911,0.6426491205377501,0.8854351027526773,0.8739869248232298,0.8968832806821249
100,0.7844422050485771,0.7747929539627032,0.794091456134451,0.9344227771771452,0.9309377271376839,0.9379078272166065,0.9150508906418462,0.9096250690690575,0.9204767122146349,0.5928323018764952,0.572419424882807,0.6132451788701834,0.9372676256026718,0.933982761948987,0.9405524892563567
200,0.7976868968646975,0.790222601360668,0.805151192368727,0.9492773128436024,0.9476326641148206,0.9509219615723842,0.9422341903842415,0.9388894549849057,0.9455789257835773,0.6421787987050063,0.6030840685076959,0.6812735289023166,0.9514159358969225,0.9492970547647823,0.9535348170290627
500,0.8082833918394042,0.8053763105441542,0.8111904731346543,0.9601675246074013,0.959253577085948,0.9610814721288545,0.9561116969133412,0.954359764529985,0.9578636292966973,0.8834543496927875,0.8719417143575485,0.8949669850280264,0.9591517138793604,0.9577806013531779,0.9605228264055429
1000,0.8104219407405429,0.8079734286455534,0.8128704528355323,0.9652209957451479,0.9644764954451428,0.9659654960451529,0.9629019604353622,0.9614904695356461,0.9643134513350784,0.9255110197556242,0.9156670412825034,0.935354998228745,0.9644722811732063,0.9635002600194689,0.9654443023269437
2000,0.8123577575787235,0.8107965476594299,0.8139189674980172,0.9687035529276022,0.968263383765729,0.9691437220894755,0.967789701448489,0.9667350854953786,0.9688443174015994,0.948334097100798,0.9456326636894349,0.951035530512161,0.9689145900348365,0.9682349011614566,0.9695942789082164
5000,0.8128323315373676,0.8119622085849275,0.8137024544898076,0.9723062366433384,0.9720306250390073,0.9725818482476695,0.9721617881946762,0.971408873421335,0.9729147029680175,0.9620065728493273,0.9608074550908013,0.9632056906078533,0.9729394221172226,0.9725627024898487,0.9733161417445966
10143,0.8131172242169159,0.8131172242169159,0.8131172242169159,0.9736742702313105,0.9735670934721268,0.9737814469904942,0.9753350937061113,0.975096792945416,0.9755733944668066,0.9673487925800363,0.9665914718479702,0.9681061133121023,0.974574626013475,0.9743717651761569,0.9747774868507931
