fpr,tpr
0.0,0.0
0.0,0.07142857142857142
0.0,0.14285714285714285
0.009174311926605505,0.14285714285714285
0.009174311926605505,0.42857142857142855
0.01834862385321101,0.42857142857142855
0.01834862385321101,0.5714285714285714
0.027522935779816515,0.5714285714285714
0.027522935779816515,0.6428571428571429
0.03669724770642202,0.6428571428571429
0.03669724770642202,0.7142857142857143
0.08256880733944955,0.7142857142857143
0.08256880733944955,0.7857142857142857
0.09174311926605505,0.7857142857142857
0.09174311926605505,0.8571428571428571
0.44954128440366975,0.8571428571428571
0.44954128440366975,0.9285714285714286
0.5229357798165137,0.9285714285714286
0.5229357798165137,1.0
1.0,1.0
