fpr,tpr
0.0,0.0
0.0,0.07142857142857142
0.0,0.35714285714285715
0.009174311926605505,0.35714285714285715
0.009174311926605505,0.42857142857142855
0.01834862385321101,0.42857142857142855
0.01834862385321101,0.5714285714285714
0.06422018348623854,0.5714285714285714
0.06422018348623854,0.7142857142857143
0.07339449541284404,0.7142857142857143
0.07339449541284404,0.7857142857142857
0.3119266055045872,0.7857142857142857
0.3119266055045872,0.8571428571428571
0.48623853211009177,0.8571428571428571
0.48623853211009177,0.9285714285714286
0.6788990825688074,0.9285714285714286
0.6788990825688074,1.0
1.0,1.0
